"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 5 Govan",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,,
"Allison HUNTER","296","149","121","29","9","7","3","2","4","1","7","3","1","0"
"Jonathan MACKIE","101","285","86","31","14","6","11","3","1","3","3","9","2","0"
"Tahir MOHAMMED","74","69","261","37","19","6","3","3","2","2","4","2","10","3"
"Harriet MURDOCH","77","34","35","21","10","4","6","6","3","6","5","0","8","10"
"Fariha THOMAS","105","328","121","40","14","7","7","11","3","3","2","1","0","1"
"Chris YOUNG","28","38","50","34","17","15","2","5","12","7","0","3","2","2"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,

