"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 13 Garscadden-Scotstounhill",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"John CORMACK","3","3","5","1","1","1","0","0","3","0","1","0","0"
"Iain CUMMING","4","2","6","3","2","1","0","1","0","0","0","0","2"
"Graeme Andrew HENDRY","48","27","7","7","1","0","0","0","1","0","0","1","0"
"Phil JARVIS","2","4","3","5","2","1","3","0","0","1","0","2","0"
"John KELLY","5","77","58","2","3","1","1","1","0","0","1","0","0"
"Susan Marion MCCOURT","5","4","0","1","1","1","0","1","0","1","1","0","1"
"Mark MUIR","0","0","4","2","2","0","1","0","1","1","1","1","0"
"Paul ROONEY","8","53","73","4","3","3","0","0","0","1","0","0","0"
"Martin SCHMIERER","6","2","13","1","2","3","0","0","1","0","1","0","0"
"James Douglas SPEIRS","2","2","4","4","1","0","1","0","0","0","0","1","1"
"Ryan STUART","1","0","0","2","0","1","2","2","0","1","1","0","0"
"Donald T WILSON","10","41","12","7","6","0","0","1","0","0","0","0","1"
"BOX 278","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","45","15","71","5","1","1","0","0","0","0","0","0","0"
"John CORMACK","7","2","4","3","0","0","0","0","0","2","0","0","0"
"Iain CUMMING","2","3","3","2","0","1","0","0","2","0","0","0","0"
"Graeme Andrew HENDRY","57","11","4","2","0","0","0","1","0","0","0","0","0"
"Phil JARVIS","8","0","7","1","0","1","0","0","1","0","0","1","0"
"John KELLY","70","29","15","3","1","1","0","0","0","0","0","0","0"
"Susan Marion MCCOURT","4","2","3","2","1","0","0","0","0","0","1","0","1"
"Mark MUIR","2","0","2","4","0","0","1","0","0","0","0","0","0"
"Paul ROONEY","5","73","31","2","4","1","1","0","0","0","0","0","0"
"Martin SCHMIERER","6","9","11","2","2","1","1","0","0","0","0","1","0"
"James Douglas SPEIRS","0","4","2","2","2","1","1","1","0","0","0","0","0"
"Ryan STUART","1","0","2","1","0","0","0","1","0","0","1","0","1"
"Donald T WILSON","5","48","8","1","2","0","1","0","0","0","0","0","0"
